match_id,msg_number,explicit_word_in_msg,fixed_height,from,funny_word_in_msg,message,n_words_in_msg,question_mark_in_msg,question_word_in_msg,sent_date,time_since_last_2_msgs,time_since_last_msg,to,type
Match 169,0,0.0,,You,0.0,Rose!! 🌹 I get it,5.0,0.0,0.0,2018-11-29 06:43:33,,,5bda0f045c67bcb02727e8c3,
Match 168,0,0.0,https://media0.giphy.com/media/6wpHEQNjkd74Q/200.gif?width=379&height=200,You,0.0,https://media0.giphy.com/media/6wpHEQNjkd74Q/giphy.gif?width=250&height=132,1.0,1.0,0.0,2018-11-21 01:18:37,,,5bdc7209e53ebed626ea4a03,gif
Match 168,1,0.0,,You,1.0,Hahaha that was fantastic!,4.0,0.0,0.0,2018-11-21 01:18:55,,0 days 00:00:18.000000000,5bdc7209e53ebed626ea4a03,
Match 168,2,0.0,,You,0.0,Also can you be the phosphorus and i have the big wooden stick 😁👍🏾😉,14.0,0.0,0.0,2018-11-21 01:19:30,0 days 00:00:53.000000000,0 days 00:00:35.000000000,5bdc7209e53ebed626ea4a03,
Match 168,3,0.0,,You,0.0,Big sticks don’t impress you?,5.0,1.0,0.0,2018-11-21 01:27:49,0 days 00:08:54.000000000,0 days 00:08:19.000000000,5bdc7209e53ebed626ea4a03,
Match 168,4,0.0,,You,0.0,That’s probably better for me anyways,6.0,0.0,0.0,2018-11-21 01:28:06,0 days 00:08:36.000000000,0 days 00:00:17.000000000,5bdc7209e53ebed626ea4a03,
Match 167,0,0.0,,You,0.0,Hey how’s it going? Happy Wednesday!,6.0,1.0,0.0,2018-06-07 00:57:00,,,5aa4c938ce81fc740cf975bf,
Match 167,1,0.0,,You,0.0,What beach is that in your pic and can we still go there?,13.0,1.0,1.0,2018-10-07 12:56:52,,122 days 11:59:52.000000000,5aa4c938ce81fc740cf975bf,
Match 167,2,0.0,,You,0.0,Hey,1.0,0.0,0.0,2018-11-17 16:16:23,163 days 15:19:23.000000000,41 days 03:19:31.000000000,5aa4c938ce81fc740cf975bf,
Match 167,3,0.0,,You,0.0,How’s it going?,3.0,1.0,0.0,2018-11-20 05:33:00,43 days 16:36:08.000000000,2 days 13:16:37.000000000,5aa4c938ce81fc740cf975bf,
Match 166,0,0.0,,You,0.0,Hey,1.0,0.0,0.0,2018-11-17 20:45:21,,,589c7bb9434a5ee614daa88e,
Match 166,1,0.0,,You,0.0,How does a cute web developer end up on Tinder?? And how long does she stay there,17.0,1.0,1.0,2018-11-17 20:56:06,,0 days 00:10:45.000000000,589c7bb9434a5ee614daa88e,
Match 166,2,0.0,,You,1.0,Haha what are you looking for?,6.0,1.0,1.0,2018-11-17 23:33:17,0 days 02:47:56.000000000,0 days 02:37:11.000000000,589c7bb9434a5ee614daa88e,
Match 166,3,0.0,,You,0.0,And what have you found?,5.0,1.0,1.0,2018-11-17 23:33:29,0 days 02:37:23.000000000,0 days 00:00:12.000000000,589c7bb9434a5ee614daa88e,
Match 166,4,0.0,,You,0.0,Something casual as well. Haven’t found much yet ...,9.0,0.0,0.0,2018-11-17 23:45:21,0 days 00:12:04.000000000,0 days 00:11:52.000000000,589c7bb9434a5ee614daa88e,
Match 166,5,0.0,,You,0.0,But then again I just found you 😀,8.0,0.0,0.0,2018-11-18 00:44:36,0 days 01:11:07.000000000,0 days 00:59:15.000000000,589c7bb9434a5ee614daa88e,
Match 166,6,0.0,,You,0.0,The dating game is hard... to me at least,9.0,0.0,0.0,2018-11-18 00:54:35,0 days 01:09:14.000000000,0 days 00:09:59.000000000,589c7bb9434a5ee614daa88e,
Match 165,0,0.0,,You,0.0,Hey,1.0,0.0,0.0,2018-11-17 14:51:22,,,5bd63869c9c9d70e3cda732f,
Match 165,1,0.0,,You,0.0,So whatcha leaving NY for?,5.0,1.0,0.0,2018-11-17 20:56:32,,0 days 06:05:10.000000000,5bd63869c9c9d70e3cda732f,
Match 164,0,0.0,,You,0.0,Hey so is that your dog in the pics?,9.0,1.0,0.0,2018-11-17 20:45:12,,,56e20320211c32112a2a3206,
Match 163,0,0.0,,You,0.0,Hey,1.0,0.0,0.0,2018-11-17 20:44:36,,,55d14d899bfa00a75b5d2f32,
Match 162,0,0.0,,You,0.0,So about those cookies...,4.0,0.0,0.0,2018-11-15 03:44:11,,,5afb638caaf13fc61a782e70,
Match 162,1,0.0,https://media1.giphy.com/media/26AHPziuyt6zy4adi/200.gif?width=272&height=200,You,0.0,https://media1.giphy.com/media/26AHPziuyt6zy4adi/giphy.gif?width=480&height=353,1.0,1.0,0.0,2018-11-15 03:46:53,,0 days 00:02:42.000000000,5afb638caaf13fc61a782e70,gif
Match 162,2,0.0,,You,0.0,When do I pick them up,6.0,0.0,1.0,2018-11-15 03:47:05,0 days 00:02:54.000000000,0 days 00:00:12.000000000,5afb638caaf13fc61a782e70,
Match 162,3,0.0,,You,0.0,/ meet you in person,5.0,0.0,0.0,2018-11-15 03:47:12,0 days 00:00:19.000000000,0 days 00:00:07.000000000,5afb638caaf13fc61a782e70,
Match 162,4,0.0,,You,1.0,Haha what’s your Saturday mid morning/ early evening look like??,10.0,1.0,0.0,2018-11-15 03:49:33,0 days 00:02:28.000000000,0 days 00:02:21.000000000,5afb638caaf13fc61a782e70,
Match 162,5,0.0,,You,0.0,Should we meet at a bakery and/or find some large drinks?,11.0,1.0,0.0,2018-11-15 03:50:00,0 days 00:02:48.000000000,0 days 00:00:27.000000000,5afb638caaf13fc61a782e70,
Match 162,6,0.0,,You,0.0,That margarita(?) in your 4th pic is huge,8.0,1.0,0.0,2018-11-15 03:52:30,0 days 00:02:57.000000000,0 days 00:02:30.000000000,5afb638caaf13fc61a782e70,
Match 162,7,0.0,,You,0.0,And yeah bar works for me,6.0,0.0,0.0,2018-11-15 03:52:50,0 days 00:02:50.000000000,0 days 00:00:20.000000000,5afb638caaf13fc61a782e70,
Match 162,8,0.0,https://media0.giphy.com/media/l41lL9hGHa3Wwqqsw/200.gif?width=272&height=200,You,0.0,https://media0.giphy.com/media/l41lL9hGHa3Wwqqsw/giphy.gif?width=235&height=173,1.0,1.0,0.0,2018-11-15 03:59:28,0 days 00:06:58.000000000,0 days 00:06:38.000000000,5afb638caaf13fc61a782e70,gif
Match 162,9,0.0,,You,0.0,Does 3 pm work for you and do you live in Brooklyn?,12.0,1.0,0.0,2018-11-15 04:00:25,0 days 00:07:35.000000000,0 days 00:00:57.000000000,5afb638caaf13fc61a782e70,
Match 162,10,0.0,,You,0.0,/ will Brooklyn work for you?,6.0,1.0,0.0,2018-11-15 04:00:55,0 days 00:01:27.000000000,0 days 00:00:30.000000000,5afb638caaf13fc61a782e70,
Match 162,11,0.0,,You,0.0,Nice! Yeah I work in FiDi and may have been swiping on the clock,14.0,0.0,0.0,2018-11-15 04:40:40,0 days 00:40:15.000000000,0 days 00:39:45.000000000,5afb638caaf13fc61a782e70,
Match 162,12,0.0,,You,0.0,I’ve been meaning to try this bar — https://yelp.to/qTKq/1unpGSK7QR ... it’s a few mins from Atlantic ave and my place,20.0,0.0,0.0,2018-11-15 04:41:53,0 days 00:40:58.000000000,0 days 00:01:13.000000000,5afb638caaf13fc61a782e70,
Match 162,13,0.0,,You,0.0,Hey how’s it going? Staying warm after the snow storm?,10.0,1.0,0.0,2018-11-16 13:30:04,1 days 08:49:24.000000000,1 days 08:48:11.000000000,5afb638caaf13fc61a782e70,
Match 162,14,0.0,,You,0.0,So how are those cookies coming along? Today still work for you?,12.0,1.0,1.0,2018-11-17 15:38:23,2 days 10:56:30.000000000,1 days 02:08:19.000000000,5afb638caaf13fc61a782e70,
Match 162,15,0.0,,You,0.0,Still coming to Brooklyn?,4.0,1.0,0.0,2018-11-17 19:36:05,1 days 06:06:01.000000000,0 days 03:57:42.000000000,5afb638caaf13fc61a782e70,
Match 161,0,0.0,,You,0.0,I feel like we’ve known each other for long enough. Can we skip the formalities and just plan our first date?,21.0,1.0,0.0,2018-10-07 12:44:24,,,55cac43e5bacdf627ec4ec4a,
Match 161,1,0.0,https://media2.giphy.com/media/OkgtQnUihTlgRSMuH4/200.gif?width=356&height=200,You,0.0,https://media2.giphy.com/media/OkgtQnUihTlgRSMuH4/giphy.gif?width=480&height=270,1.0,1.0,0.0,2018-11-12 01:42:12,,35 days 12:57:48.000000000,55cac43e5bacdf627ec4ec4a,gif
Match 160,0,0.0,https://media2.giphy.com/media/9YKvq41UGOkCI/200.gif?width=178&height=200,You,0.0,https://media2.giphy.com/media/9YKvq41UGOkCI/giphy.gif?width=320&height=360,1.0,1.0,0.0,2018-11-11 15:39:31,,,5925d7aec7ddefdf38b4807b,gif
